,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
8446, BRISTOL HOSPITALITY LLC ,D," 62,500 ",Bachelor's,D
9351, COLD FUSION TECHNOLOGIES CORP D ,D," 74,000 ",Bachelor's,D
1406, ASSEMBLA INC ,D," 106,600 ",Master's,D
7416, GREENHOUSE SOFTWARE INC ,D," 110,000 ",Master's,D
2489, BOLSTER CORPORATION ,D," 70,000 ",Master's,D
6700, OVER THE TOP NETWORKS INTL INC ,D," 110,000 ",Master's,D
7250, LONOMICS LLC ,D," 80,000 ",Master's,D
4157, SURGICAL THEATER LLC ,D," 160,000 ",Master's,D
0533, DOLLAR SHAVE CLUB INC ,D," 120,000 ",Master's,D
0685, LIBBY MANAGEMENT SERVICES CORP ,D," 95,000 ",Bachelor's,D
7209, FARA INC ,D," 25,440 ",Master's,D
2191, D P JEWELRY WHOLESALE INC DBA DPJ ,D," 108,493 ",Master's,D
2380, READY ANALYTICS INC ,D," 82,000 ",Bachelor's,D
4006, UNI DENTAL LABORATORY INC ,D," 60,000 ",Bachelor's,D
5064, ABSOLUTE FABRICATION LLC ,D," 75,000 ",Master's,D
6515, PROCUREMENT ADVISORS LLC ,D," 80,000 ",Master's,D
7907, BIZINSURE LLC DBA SIMPLE SMART BI ,D," 225,000 ",Master's,D
0127, CARD CORPORATION ,D," 57,000 ",Bachelor's,D
1312, KOREA WEEK INC ,D," 17,680 ",Bachelor's,D
3947, ENIWARE LLC ,D," 54,600 ",Master's,D
5719, METHOD DESIGN ARCHITECTURE AND UR ,D," 55,500 ",Master's,D
0302, SEABOARD SOLAR OPERATIONS ,D," 63,003 ",Bachelor's,D
2268, GLASAIR AVIATION USA LLC ,D," 79,955 ",Master's,D
3014, AMANPREET SIDHU PLLC DBA SUNRISE ,D,   ,Professional Degree,D
3187, COLLAB LLC ,D," 100,000 ",Master's,D
4786, TECHNOLOGIES AND SOLUTIONS INC ,D," 85,000 ",Bachelor's,D
6163, PRIME HEALTHCARE SVCS-ROXBOROUGH ,D," 56,368 ",Bachelor's,D
6531, JAM COMMODITY INVESTMENTS LLC ,D," 50,000 ",Master's,D
6700, MARATHON GINSENG INTERNATIONAL ,D," 47,549 ",Bachelor's,D
8136, MZTIX LLC ,D," 150,000 ",Bachelor's,D
8723, LAW OFFICES OF FENG & ASSOC PC ,D," 34,320 ",Master's,D
5457, BEHAVIORMATRIX LLC ,D," 70,000 ",Master's,D
0286, CLEAR PATH FINANCIAL PLANNING LLC ,D," 44,512 ",Master's,D
1235, VARUNDEEP GREWAL DDS INC DBA MISS ,D," 49,920 ",Professional Degree,D
1692, MOJO SOLUTIONS AND SVCS MSS LLC ,D," 75,172 ",Bachelor's,D
0555, SAPIEN NETWORKS ,D," 75,000 ",Master's,D
5664, KIDNEY CARE CTR ELGIN LLC ,D," 200,000 ",Professional Degree,D
7596, THINKSOFT TECHNOLOGIES LLC ,D," 71,219 ",Bachelor's,D
9827, SYNPULSE USA INC ,D," 135,000 ",Master's,D
6484, AMERISOFT CONSULTING LLC ,D," 70,000 ",Master's,D
3961, IT RESOURCES INC ,D," 57,949 ",Master's,D
6907, ACE ART DENTAL LAB INC ,D," 24,076 ",Associate Degree,D
0054, EVIZZIT LLC ,D," 106,620 ",Professional Degree,D
1901, STOWE & ASSO LLC ,D," 72,800 ",Master's,D
2459, FOCUS ENGINEERING LLC ,D," 57,158 ",Doctorate,D
2896, AP AERONAUTICS ,D," 60,742 ",Master's,D
3136, JC & ASSOCIATES APC ,D," 47,445 ",Bachelor's,D
5289, SMART SOURCE USA LLC ,D," 80,000 ",Master's,D
7158, SCG AMERICA GROUP INC ,D," 66,000 ",Master's,D
7600, A3R LLC ,D," 77,626 ",Bachelor's,D
0006, BLUE BEYOND CONSULTING INC ,D," 70,200 ",Bachelor's,D
2063, NORTHSIDE ED INC DBA ATLANTA CLAS ,D," 45,320 ",Master's,D
3448, ALEVO INC ,D," 90,000 ",Doctorate,D
3495, VALERA & ASSOCIATES PC ,D," 24,071 ",Master's,D
7811, STILLMEADOW FARM LLC ,D," 52,208 ",Bachelor's,D
1748, INSILICO LOGIX LLC ,D," 60,000 ",Master's,D
3758, LONG TERM PHARMACEUTICAL SOLUTION ,D," 102,918 ",Bachelor's,D
7669, GEO ADVANTEC INC ,D," 75,000 ",Master's,D
9205, BRIGHTBYTES INC ,D," 130,000 ",Master's,D
9721, TRYE BUTLER MAYO GRIFFITH LLC ,D," 31,730 ",Master's,D
1357, VOICEXNET TECHNOLOGIES LLC ,D," 800,000 ",Bachelor's,D
1871, THE ONE PAGE CO INC ,D," 200,000 ",Master's,D
6590, STRAWBERRYFROG LLC ,D," 85,000 ",Master's,D
6650, WEST HAVEN SMILE DENTAL LLC ,D," 35,776 ",Professional Degree,D
1665, GLOBALMAX INTL INC ,D," 39,166 ",Master's,D
6551, MOCAP ANALYTICS INC ,D," 125,000 ",Doctorate,D
6934, TQUATE INC ,D," 60,000 ",Master's,D
1086, GNN TRANS LOGISTIC SERVICES CORP ,D,   ,Bachelor's,D
3945, LUXE SLEEP INC ,D," 41,442 ",Bachelor's,D
5947, THS PHYSICIAN PARTNERS INC ,D," 500,000 ",Professional Degree,D
7270, SELLECT COMMERCE LLC ,D," 101,000 ",Master's,D
8231, 14A INFO TECH INC ,D," 60,000 ",Master's,D
9749, CLARKE CAPITAL PARTNERS LLC ,D," 160,000 ",Bachelor's,D
6541, SWIPESENSE INC ,D," 60,000 ",Master's,D
2233, PICA8 INC ,D," 180,000 ",Master's,D
3039, S&S FUELS MGMT LLC ,D," 78,861 ",Bachelor's,D
5050, DERMATOLOGY & HAIR RESTORATION SP ,D," 198,336 ",Professional Degree,D
0464, SAN DIMAS ANIMAL HOSPITAL INC ,D," 105,000 ",Professional Degree,D
2397, NCLOUDS INC ,D," 150,000 ",Master's,D
6890, CHICAGO AUTOMATION LLC ,D," 75,000 ",Master's,D
2088, HANN LAW FIRM ,D," 60,320 ",Bachelor's,D
2922, PHASE2MICROTECHNOLOGIES LLC ,D," 70,000 ",Master's,D
7959, GTRANSIT SOLUTIONS LLC ,D," 80,000 ",Bachelor's,D
8418, H LEE & ASSOCIATES INC ,D," 71,469 ",Master's,D
0183, SMARTEDGE IT LLC ,D," 60,000 ",Master's,D
0898, TRISYS INC ,D," 75,000 ",Bachelor's,D
4536, PERKINS EASTMAN DC PLLC ,D," 48,500 ",Master's,D
4783, SYPARTNERS LLC ,D," 150,000 ",Master's,D
5334, SUPERIOR INSTRUMENTS LLC ,D,   ,Master's,D
8451, THERMAL SOLNS MANUFACTURING INC ,D," 45,000 ",Master's,D
9956, YOEL R VIVAS MD PA DBA ARRHYTHIMA ,D," 350,000 ",Professional Degree,D
4300, ANIMACCORD CORPORATION ANIMACCORD ,D," 60,000 ",Bachelor's,D
5121, ELISSA GROPEN MD ,D," 43,784 ",Master's,D
0162, PROTOBRAND SCIENCES INC ,D," 65,000 ",Master's,D
1107, ALL ABOUT NATURALS INC ,D," 27,500 ",Master's,D
2105, ECONNECTIONSOFT INC ,D," 72,000 ",Bachelor's,D
2441, MADAKET INC ,D," 100,000 ",Master's,D
3322, POWERTECH AMERICA SALES LLC ,D," 46,000 ",Bachelor's,D
5695, AD INFORMATION TECHNOLOGY LLC ,D," 90,000 ",Bachelor's,D
6666, BRUECKNER GROUP USA INC ,D," 85,000 ",Some College Credits,D
5613, MEDYTOX DIAGNOSTICS INC ,D," 115,000 ",Doctorate,D
6810, TENSILE CAPITAL MGMT LLC ,D," 140,000 ",Master's,D
1525, HTN WIRELESS INC ,D," 60,000 ",Bachelor's,D
3027, MORANT ENTERPRISES DBA NEXTGEN ,D," 55,000 ",Bachelor's,D
3813, TRIFECTA ENERGY INC ,D," 80,000 ",Master's,D
6672, SMARTGEOTECH INC ,D," 100,000 ",Bachelor's,D
0386, RAY LIU ASSOCIATES CORP ,D," 70,000 ",Master's,D
4826, BRIGHTCURRENT INC ,D," 60,000 ",Master's,D
9419, RAINBOW NEW YORK INC ,D," 42,224 ",Master's,D
9874, NYTE DBA SARE GRANITE & TILE ,D," 72,000 ",Bachelor's,D
0002, LILY YIP TABLE TENNIS CENTER INC ,D,   ,Bachelor's,D
6578, TELESIGHT INC D/B/A ERC ,D," 69,279 ",Master's,D
3649, ITS ANALYTICS INC ,D," 60,000 ",Bachelor's,D
8286, BARRY MCTIERNAN & MOORE LLC ,D," 62,400 ",Professional Degree,D
2003, PV TRON LLC ,D," 111,883 ",High School,D
2095, N S HAAS INC ,D," 65,000 ",Bachelor's,D
2249, GLOBAL EDUCATION INSTITUTE INC ,D," 35,000 ",Master's,D
2744, CALLE & ASSOCIATES ,D," 25,084 ",Master's,D
6711, GREENLEAF TECH SOLUTIONS LLC ,D," 95,659 ",Bachelor's,D
2711, MISSION SQUASH OF HOUSTON ,D," 65,000 ",Bachelor's,D
6497, BLUE GAS MARINE INC ,D," 57,803 ",Bachelor's,D
7068, KANEKA NORTH AMERICA LLC ,D," 110,068 ",Master's,D
7243, ACERTA PHARMA LLC ,D," 150,000 ",Master's,D
7272, TRILOKI INC ,D," 46,800 ",Master's,D
7828, MSZ DESIGN INC ,D," 42,048 ",Master's,D
9355, INGRAIN SYSTEMS INC ,D," 100,560 ",Master's,D
6166, DATARPM CORPORATION USA ,D," 67,621 ",Bachelor's,D
7432, AP MEMORY CORP USA ,D," 60,000 ",Master's,D
8825, ALPINE MEDICAL GROUP LLC ,D," 180,000 ",Professional Degree,D
4052, SILVER TOUCH TECHNOLOGIES INC ,D," 65,000 ",Master's,D
6785, SPRING & THIRD LLC ,D," 60,000 ",Master's,D
8028, CIFCO LLC ,D," 72,000 ",Bachelor's,D
0454, GTS ENGINEERING USA INCORPORATED ,D," 65,000 ",Bachelor's,D
4325, PICLR LABS INC ,D," 60,000 ",Bachelor's,D
7369, TAE POONG MARTIAL ARTS LLC ,D," 54,000 ",Bachelor's,D
9382, CYC FITNESS PARTNERS LLC ,D," 200,000 ",Bachelor's,D
6528, AANDAVAR TECHNOLOGIES LLC ,D," 90,000 ",Master's,D
7142, PECGA LLC ,D," 54,000 ",Master's,D
3328, PLANNEDUP INC ,D," 65,000 ",Bachelor's,D
3778, DISRUPTYX LLC ,D," 60,000 ",Doctorate,D
3842, BARTECA HOLDINGS LLC ,D," 55,000 ",Master's,D
4662, MOVILE INTL INC ,D," 125,000 ",Master's,D
4985, GENE STRUCTURAL ENGINEERING INC ,D," 67,200 ",Master's,D
6485, 41SQUARE LLC ,D," 20,800 ",Master's,D
2538, QUMULO INC ,D," 100,000 ",Master's,D
3088, VIXSOL LLC ,D," 60,000 ",Bachelor's,D
3149, CONSTRUCTION SCIENCE LLC ,D," 66,000 ",Bachelor's,D
8821, 8LIKES INC ,D," 100,800 ",Master's,D
1592, ACRETIX INC ,D," 112,000 ",Master's,D
2845, CLAYMOORE ENGINEERING INC ,D," 62,130 ",Bachelor's,D
3224, RUNNABLE INC ,D," 145,000 ",Bachelor's,D
4066, ECHO TECHNOLOGY SOLUTIONS LLC ,D," 100,000 ",Bachelor's,D
5156, MEDIKON LLC DBA DUVAL PHARMACY 20 ,D," 81,000 ",Doctorate,D
1323, OCCAMS PARADIGM INC ,D," 60,996 ",Master's,D
4267, ADEMODA INC ,D," 38,522 ",Bachelor's,D
7919, KHAMELEON SOFTWARE LLC ,D," 75,000 ",Master's,D
0612, UPSTART NETWORK INC ,D," 66,175 ",Bachelor's,D
2535, HORIZON TIRE NJ LLC ,D," 64,064 ",Master's,D
2664, LUMASYS INC ,D," 11,715 ",Master's,D
5238, MISCHIEF INTERNATIONAL INC ,D," 43,000 ",Bachelor's,D
6976, NUTSHELL INC ,D," 78,624 ",Bachelor's,D
2054, CALA ENTERPRISES CORPORATION ,D," 34,882 ",Bachelor's,D
5618, AMBI DEXTROUS ASSET MANAGEMENT LL ,D," 100,000 ",Bachelor's,D
3345, OPTUM SERVICES INC ,D," 105,000 ",Bachelor's,D
5158, EMPIRE STATE REALTY OP LP ,D," 70,000 ",Bachelor's,D
8514, EAGLE MOUNTAIN HOUSE LLC ,D," 50,000 ",Master's,D
8874, TROIS CPA A PROFESSIONAL CORP ,D," 23,722 ",Master's,D
2435, NEW ENGLAND THERAPY ASSOCIATES LL ,D," 72,800 ",Master's,D
1974, USA POOLS ,D," 80,000 ",Master's,D
2942, BASE PAIR BIOTECHNOLOGIES ,D," 43,000 ",Master's,D
3967, SUSE LLC ,D," 113,800 ",Master's,D
6119, STADSON TECHNOLOGY CORPORATION ,D," 50,128 ",Bachelor's,D
7415, EVOLVINGAPPS LLC ,D," 60,000 ",Master's,D
8583, OMAK PHARMACY INC ,D," 114,400 ",Master's,D
8966, SPECTRUM INTELLIGENCE COMMS AGENC ,D," 30,014 ",Bachelor's,D
1229, CURE FIRST ,D," 32,000 ",Master's,D
2629, INTEGRA FEC LLC ,D," 90,000 ",Doctorate,D
2975, GETEXP INC ,D," 110,000 ",Master's,D
4186, ART LLC ,D," 64,418 ",Master's,D
1027, CROWDRISE INC ,D," 102,250 ",Master's,D
6528, SMARTMATIC USA CORP ,D," 80,000 ",Master's,D
7545, LAND IQ LLC ,D," 100,246 ",Doctorate,D
7991, TALECH INC ,D," 125,000 ",Master's,D
2544, USBOARDCO LLC ,D," 65,000 ",Bachelor's,D
3662, W I N G LLC / WALL TIGER ENTERTAI ,D," 50,000 ",Master's,D
4083, AXONICS MODULATION TECHNOLOGIES I ,D," 135,000 ",Master's,D
4741, HIS KINGDOM ANIMAL HOSP INC D/B/A ,D," 80,000 ",Professional Degree,D
7041, BIGRENTZ INC ,D," 105,000 ",Master's,D
8655, COMMERCIAL FOOD SANITATION L L C ,D," 52,000 ",Master's,D
0551, TECHNAMO LLC ,D," 60,600 ",Master's,D
6115, TECH TALENTA INC ,D," 70,400 ",Master's,D
8333, SAN FRANCISCO BICYCLES RENTALS IN ,D," 63,000 ",Master's,D
9087, BLACK PHOENIX RESEARCH LLC ,D," 52,000 ",Master's,D
7546, WDC ASSOCIATIES LLP ,D," 80,000 ",Master's,D
0463, WI DENTAL SC ,D," 163,020 ",Professional Degree,D
1888, SANO INTELLIGENCE INC ,D," 117,250 ",Doctorate,D
3765, MCNAMARA GROUP LLC DBA MCNAMARA B ,D," 51,542 ",Bachelor's,D
7683, VENSUN PHARMACEUTICALS INC ,D," 144,200 ",Bachelor's,D
2227, ASPEN FINANCIALS CORP ,D," 48,000 ",Bachelor's,D
3880, MOBIVEIL INC ,D," 83,824 ",Bachelor's,D
6521, ISPOT TV INC ,D," 110,000 ",Master's,D
8438, AMERIWAL INTERNATIONAL INC ,D," 27,477 ",Master's,D
6412, FUSION BAG CO INC ,D," 50,000 ",Master's,D
2005, MANSUR GAVRIEL LLC ,D," 85,000 ",Bachelor's,D
7500, MEDXCEL ,D," 72,000 ",Bachelor's,D
1183, SUNNY OPOTECH NORTH AMERICA INC ,D," 96,000 ",Master's,D
2748, MAEYA CULTURE EXCHANGE GRP LLC ,D," 39,790 ",Master's,D
3418, EKK EAGLE SALES AMERICA INC ,D," 124,800 ",Bachelor's,D
7468, INTL ENTREPRENEURSHIP CTR LLC ,D," 60,000 ",Master's,D
4136, CHADSEL LLC ,D," 48,000 ",Master's,D
5077, I T MATTERS INC ,D," 55,474 ",Bachelor's,D
5776, DIGITAL ITECHNOLOGY LLC ,D," 70,000 ",Master's,D
6945, CONSERVA PARTNERS INC ,D," 62,462 ",Master's,D
7880, TRANTOR INC ,D," 60,549 ",Master's,D
1193, KHATOD NORTH AMERICA LLC ,D," 60,000 ",Bachelor's,D
2059, KEANE SOFT INC ,D," 72,000 ",Master's,D
3555, VIRTUAL CLARITY INC ,D," 150,000 ",Bachelor's,D
6142, ORZOTA INC ,D," 105,000 ",Bachelor's,D
7464, TRIPLE S METAL INC ,D," 40,539 ",Bachelor's,D
1174, INSITE APPLICATIONS LLC ,D," 240,000 ",Some College Credits,D
4825, FUZION ANALYTICS INC ,D," 60,000 ",Master's,D
5498, INTELLIGENTUAS LLC ,D," 34,289 ",Master's,D
6258, WASHINGTON HEALTH BENEFIT EXCHANG ,D," 90,000 ",Bachelor's,D
7549, ECOMO INC ,D," 70,000 ",Master's,D
1429, PMR KENTUCKY HOLDING LLC DBA JENC ,D," 187,200 ",Professional Degree,D
2018, TECHBIND LLC ,D," 110,000 ",Master's,D
7390, INDIGO BEAM LLC ,D," 92,000 ",Bachelor's,D
9787, POLYVERSE CORP ,D," 120,000 ",Bachelor's,D
4186, RND PHARMACY INC DBA CASA DE VIDA ,D," 94,000 ",Master's,D
9074, DAYANG TRANDS USA INC ,D," 120,000 ",Bachelor's,D
3692, AMERICAN MEDICAL STAFFING CORP ,D," 60,000 ",Bachelor's,D
7897, MICROINFO IT INC ,D," 60,000 ",Master's,D
8437, EZ WORLD CARGO INC ,D," 55,000 ",Bachelor's,D
8826, RYAN H KIM DDS INC ,D,   ,Professional Degree,D
0041, CARO HOME LLC ,D," 75,000 ",Master's,D
0410, MIZE INC ,D," 88,000 ",Master's,D
4579, NDT GLOBAL LLC ,D," 83,000 ",Doctorate,D
8481, ABBEVILLE DENTISTRY PLLC ,D," 162,000 ",Professional Degree,D
8598, HAMMER & CHISEL INC ,D," 150,000 ",Bachelor's,D
9596, PAULA MENDOZA JEWELRY LLC ,D," 40,269 ",Bachelor's,D
0545, CHIDEO LLC ,D," 110,000 ",Bachelor's,D
0736, INTERNATIONAL CHEMISTRY TESTING L ,D," 34,996 ",Master's,D
6125, VENTURE SOLUTIONS INC ,D," 48,301 ",Bachelor's,D
7043, SOMERVILLE FIRST DENTAL LLC ,D," 170,000 ",Professional Degree,D
9402, PARISI CUCINE E CASA LLC ,D," 32,500 ",Bachelor's,D
2891, THE R SHAWN MCBRIDE LAW FIRM PLLC ,D," 100,000 ",Professional Degree,D
3949, COTE ORPHAN LLC ,D," 75,000 ",Master's,D
5547, DRAPER UNIVERSITY LLC ,D," 80,000 ",Bachelor's,D
6772, D2 DENTAL MI P C D/B/A DESTINY DE ,D," 125,000 ",Professional Degree,D
7687, CLEAR MARKETS HOLDINGS INC ,D," 61,500 ",Master's,D
7788, CENTERLINE CITY PHARMACY LLC ,D," 97,500 ",Bachelor's,D
1719, SAG-AFTRA SCREEN ACTORS GUILD-AME ,D," 141,341 ",Bachelor's,D
8779, ARVYN TECHNOLOGIES INC ,D," 70,000 ",Bachelor's,D
9453, APT 2 LLC ,D," 51,000 ",Bachelor's,D
4269, YIN USA INC ,D," 75,000 ",Master's,D
0874, HUDSON IN HOME PHYSICAL THERAPY P ,D," 76,000 ",Bachelor's,D
1815, B3 CONSULTING GROUP INC ,D," 100,000 ",Master's,D
2141, MIIT SOLUTIONS INC ,D," 56,000 ",Master's,D
8214, PRICEWATERHOUSECOOPERS ADVISORY S ,D," 140,000 ",Master's,D
2990, VBURST SOFTWARE LLC ,D," 145,600 ",Master's,D
7031, INDEX SYSTEMS INC ,D," 115,000 ",Bachelor's,D
4942, TOPLINE DRYWALL INC ,D," 26,122 ",Bachelor's,D
6134, DOI CPA LLC ,D," 39,270 ",Bachelor's,D
6578, KYOEI ELECTRONICS AMERICA INC ,D," 100,000 ",Bachelor's,D
2036, SDK ATELIER INC ,D," 54,600 ",Master's,D
4947, LINK AMERICA LLC ,D," 110,000 ",Bachelor's,D
5148, BENEFITALIGN LLC ,D," 50,000 ",Bachelor's,D
5662, E-Z WELD GROUP LLC ,D," 59,999 ",Bachelor's,D
7246, NOVALAND MEDIA & FILM PRODUCTION ,D," 48,000 ",Bachelor's,D
9150, KC CHEW CONSULTING LLC DBA LDSHP ,D," 62,109 ",Master's,D
2195, IN MATH&SCI ACAD S INDIANAPOLIS C ,D," 68,070 ",Bachelor's,D
5795, AIVA TECHNOLOGY LLC ,D,   ,Master's,D
8149, FACTORY DIRECT FLOORS ,D," 46,134 ",Master's,D
8717, LOS ANGELES CLEANTECH INCUBATOR ,D," 60,000 ",Bachelor's,D
0151, BLACKROCK INSTITUTIONAL SVCS INC ,D," 62,550 ",Bachelor's,D
0188, RED BALLOON SECURITY INC ,D," 135,000 ",Master's,D
4793, SRI GANESH PHARMACY OF CUMBERLAND ,D," 143,000 ",Master's,D
5272, AXIS TECHNOLOGY SOLUTIONS INC ,D," 60,000 ",Master's,D
6267, THASOS GROUP LLC ,D," 110,000 ",Doctorate,D
6659, CORNERSTONE ENERGY SERVICES INC ,D," 57,300 ",Master's,D
8215, GETTING TO GREEN LLC DBA G2G ,D," 67,000 ",Master's,D
0138, GLOBAL OIL FINANCIAL SERVICES LLC ,D," 42,000 ",Master's,D
0194, QSTRIDE INC ,D," 93,600 ",Bachelor's,D
3152, HELPFUL ALLIANCE COMPANY ,D," 72,800 ",Master's,D
3462, EMAGID CORP ,D," 75,000 ",Master's,D
5636, CLOVERPOP INC ,D," 85,000 ",Master's,D
6246, PROJECT TF DBA CODE2040 ,D," 125,000 ",Master's,D
1994, UAB HOSPITAL MGMT LLC ,D," 48,464 ",Master's,D
4211, VALUECARE DENTAL LLC ,D," 120,000 ",Professional Degree,D
4814, SALT & LIGHT ENERGY EQUIPMENT LLC ,D," 55,000 ",Master's,D
5565, SUPER EVIL MEGACORP ,D," 130,000 ",Master's,D
6338, MY CHIRO & REHAB CTR INC ,D," 58,822 ",Master's,D
5280, TPG FUNDING NEW YORK INC ,D," 175,000 ",Bachelor's,D
7390, MID STATE PHYSICIANS LLP ,D," 311,148 ",Professional Degree,D
5149, ST ANTHONY SHAWNEE HOSPITAL INC ,D," 320,000 ",Professional Degree,D
7247, NATARAJAN MED GRP PC D B A SEASON ,D," 160,000 ",Professional Degree,D
9401, VINEYARD BRANDS WINES INC ,D," 75,000 ",Master's,D
1090, IT INTELLECTS INC ,D," 69,576 ",Bachelor's,D
6037, STONE MOUNTAIN USA LLC ,D," 40,000 ",Bachelor's,D
7536, ALLIED CONSTRUCTION TECH INC ,D," 105,000 ",Bachelor's,D
9628, AGUIRE INTERNATIONAL INC ,D," 110,000 ",Bachelor's,D
5082, CLUTCH HOLDINGS LLC ,D," 85,000 ",Bachelor's,D
8054, RNUNES OLE LLC ,D," 52,000 ",Master's,D
0383, OMAARAV LODGING LLC ,D," 53,706 ",Bachelor's,D
8435, 0 ,D," 63,752 ",Bachelor's,D
8998, MAHAKALI CORP DBA GLOVERSVILLE PH ,D," 98,946 ",Bachelor's,D
0104, VETERANS EZ INFO INC ,D," 56,430 ",Master's,D
3181, ABAB SOLUTIONS INC ,D," 70,000 ",Master's,D
7391, RUBY SEVEN STUDIOS INC ,D," 75,000 ",Master's,D
0483, CURIOUS OLIVE INC DBA VOXEL ,D," 105,000 ",Master's,D
2838, TALENT TABLE LLC ,D,   ,Bachelor's,D
5087, WON SOLUTIONS LLC ,D," 55,965 ",Master's,D
1860, REVEAL MOBILE INC ,D," 70,000 ",Master's,D
6606, AMGL INTERNATIONAL LLC ,D," 50,000 ",Master's,D
2481, ARTH LLC DBA ACRES PHARMACY ,D," 111,717 ",Doctorate,D
3969, BUTTAR INC DBA ESPECIALLY CATS VE ,D," 120,000 ",Professional Degree,D
5881, HL CHOICE CORP DBA SUN SSC ,D," 92,000 ",Bachelor's,D
6924, DATAFORTUNE INC ,D," 108,160 ",Master's,D
2058, VERYS LLC ,D," 100,000 ",Bachelor's,D
3602, SRI GANESH PHARMACY OF HYNDMAN IN ,D," 132,000 ",Master's,D
3674, YERDLE ,D," 150,000 ",Bachelor's,D
4914, TEXAS FUNDRUNNERS LLC ,D," 36,000 ",Bachelor's,D
5654, KAYUH BICYCLES LLC ,D," 41,142 ",Bachelor's,D
6222, TUBE INC D/B/A DATAMI ,D," 145,000 ",Bachelor's,D
7593, DC TAX ACCOUNTING DBA DE COMPU ,D," 60,000 ",Master's,D
5360, ZERO 48 INTERNATIONAL CORPORATION ,D," 48,000 ",Bachelor's,D
6277, SCUBETMG LLC ,D," 60,000 ",Bachelor's,D
7535, TANEJA EDUCATION SVCS INC D/B/A P ,D," 62,608 ",Master's,D
7549, ANXIN INC ,D," 42,000 ",Master's,D
0931, NUCLEAR LOGISTICS INC ,D," 80,160 ",Master's,D
1542, ROYAL FUEL LLC ,D," 36,000 ",Doctorate,D
8197, HELIXPLUS LLC ,D," 68,500 ",Bachelor's,D
1291, KEPLER GROUP LLC ,D," 67,900 ",Master's,D
2020, ROWDMAP INC ,D," 100,000 ",Master's,D
3722, LE TOTE INC ,D," 110,000 ",Bachelor's,D
4741, CCS DESIGN INC ,D," 149,760 ",Master's,D
9398, EMERGENCY HOSPITALS OF TEXAS PLLC ,D," 50,000 ",Master's,D
5097, NAVA COMPANIES ,D," 55,000 ",Master's,D
7096, AMERICAN EAGLE IMMIGRATION LAW FI ,D," 53,248 ",Master's,D
7461, IPC HOSPITALIST SVCS OF NY P C IP ,D," 85,000 ",Master's,D
8696, CAVALRY INC ,D," 90,000 ",Master's,D
9611, SMART POWER SYSTEMS LLC ,D," 79,539 ",Bachelor's,D
2047, MECOMMERCE INC ,D," 185,000 ",Bachelor's,D
2164, BLACK TUX INC ,D," 80,000 ",Master's,D
4275, FRESCODATA LLC ,D," 114,400 ",Master's,D
4667, QWINIX TECHNOLOGIES INC ,D," 70,491 ",Bachelor's,D
7715, PHARMACY ON 8 LLC D/B/A PHARMACY ,D," 95,680 ",Professional Degree,D
8467, H & H LAW A PRO LAW CORP ,D," 87,880 ",Professional Degree,D
0147, EXIMIUS SYSTEMS INC ,D," 61,000 ",Master's,D
0577, DREAMWEAVER LLC ,D," 125,000 ",Master's,D
1052, VERSAL GRP INC ,D," 120,000 ",Master's,D
2649, EXPO GROUP INC DBA MATCH FRAME ,D," 35,776 ",Bachelor's,D
0128, FOOD GUSTO INC ,D," 27,300 ",Bachelor's,D
0763, P&C GROUP INC ,D," 47,445 ",Bachelor's,D
1099, HARWIN FURNITURE ,D," 24,554 ",Master's,D
6329, LEVER INC ,D," 130,000 ",Master's,D
6763, MOXTRA INC ,D," 120,349 ",Bachelor's,D
9493, HST SOLAR FARMS INC ,D," 90,000 ",Master's,D
4293, BAIN & COMPANY DC LLC ,D," 80,000 ",Bachelor's,D
5550, HRC GROUP USA INC ,D," 74,000 ",Bachelor's,D
0910, SUM LLC DBA THE THERAPY SPOT ,D," 78,000 ",Master's,D
2618, EXODUS INTELLIGENCE LLC ,D," 100,000 ",Bachelor's,D
2867, CREATION TECHNOLOGIES SAN JOSE IN ,D," 70,946 ",Master's,D
7733, ONLINE EVENTS INC DBA IDOCELEBRAT ,D," 19,200 ",Master's,D
9394, COMMONBOND INC ,D," 110,000 ",Master's,D
0576, EDUCATIONSUPERHIGHWAY ,D," 70,845 ",Bachelor's,D
1244, TEKNISMART SOLUTIONS INC ,D," 68,000 ",Master's,D
1664, MANUFACTURING QUALITY RESOURCES G ,D," 31,200 ",Doctorate,D
7740, CRITICAL CARE PHYSICIANS OF NJ PC ,D," 280,800 ",Professional Degree,D
8841, FENOX VENTURE CAPITAL ,D," 90,000 ",Master's,D
4410, PORT ARCHITECTURE & URBANISM LLC ,D," 31,512 ",Master's,D
4507, BUNSOW DE MORY SMITH & ALLISON LL ,D," 200,000 ",Professional Degree,D
